ID,COUNTRY,YEAR,QUARTER,VESSEL_LENGTH,GEAR,MESH_SIZE_RANGE,FISHERY,AREA,SPECON,SPECIES,DISCARDS,UNIT,LENGTHCLASS0,LENGTHCLASS1,LENGTHCLASS2,LENGTHCLASS3,LENGTHCLASS4,LENGTHCLASS5,LENGTHCLASS6,LENGTHCLASS7,LENGTHCLASS8,LENGTHCLASS9,LENGTHCLASS10,LENGTHCLASS11,LENGTHCLASS12,LENGTHCLASS13,LENGTHCLASS14,LENGTHCLASS15,LENGTHCLASS16,LENGTHCLASS17,LENGTHCLASS18,LENGTHCLASS19,LENGTHCLASS20,LENGTHCLASS21,LENGTHCLASS22,LENGTHCLASS23,LENGTHCLASS24,LENGTHCLASS25,LENGTHCLASS26,LENGTHCLASS27,LENGTHCLASS28,LENGTHCLASS29,LENGTHCLASS30,LENGTHCLASS31,LENGTHCLASS32,LENGTHCLASS33,LENGTHCLASS34,LENGTHCLASS35,LENGTHCLASS36,LENGTHCLASS37,LENGTHCLASS38,LENGTHCLASS39,LENGTHCLASS40,LENGTHCLASS41,LENGTHCLASS42,LENGTHCLASS43,LENGTHCLASS44,LENGTHCLASS45,LENGTHCLASS46,LENGTHCLASS47,LENGTHCLASS48,LENGTHCLASS49,LENGTHCLASS50,LENGTHCLASS51,LENGTHCLASS52,LENGTHCLASS53,LENGTHCLASS54,LENGTHCLASS55,LENGTHCLASS56,LENGTHCLASS57,LENGTHCLASS58,LENGTHCLASS59,LENGTHCLASS60,LENGTHCLASS61,LENGTHCLASS62,LENGTHCLASS63,LENGTHCLASS64,LENGTHCLASS65,LENGTHCLASS66,LENGTHCLASS67,LENGTHCLASS68,LENGTHCLASS69,LENGTHCLASS70,LENGTHCLASS71,LENGTHCLASS72,LENGTHCLASS73,LENGTHCLASS74,LENGTHCLASS75,LENGTHCLASS76,LENGTHCLASS77,LENGTHCLASS78,LENGTHCLASS79,LENGTHCLASS80,LENGTHCLASS81,LENGTHCLASS82,LENGTHCLASS83,LENGTHCLASS84,LENGTHCLASS85,LENGTHCLASS86,LENGTHCLASS87,LENGTHCLASS88,LENGTHCLASS89,LENGTHCLASS90,LENGTHCLASS91,LENGTHCLASS92,LENGTHCLASS93,LENGTHCLASS94,LENGTHCLASS95,LENGTHCLASS96,LENGTHCLASS97,LENGTHCLASS98,LENGTHCLASS99,LENGTHCLASS100_PLUS
44554,XXX,2009,-1,-1,OTB,50D100,DEMSP,999,-1,DPS,38.35542,mm,0,0,0,0,0,0,0,0,74.269684,113.430719,442.023121,434.918237,471.195383,752.236038,1174.441705,1831.805062,1370.380186,1159.512365,1113.680983,594.551203,498.719222,212.970095,462.964048,159.640324,164.862551,92.792376,14.948854,19.931806,122.146589,20.280591,0,0,4.982951,0,0,10.126292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44571,XXX,2010,-1,-1,OTB,50D100,DEMSP,999,-1,DPS,24.396528,mm,0,0,0,0,0,0,0,0,0,130.45957,80.110837,198.657746,145.782721,176.689095,283.241041,572.53362,703.764644,670.618574,823.349059,668.894304,610.656016,232.573805,230.802865,107.478681,165.664995,90.467589,47.612437,23.733082,30.451867,1.374058,14.504053,0.639375,0,0.631143,0.639375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44583,XXX,2010,-1,-1,OTB,50D100,MDDWSP,999,-1,DPS,2.703603,mm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.310774,7.863089,3.310774,15.133182,12.001557,15.726178,10.34617,49.861521,39.076673,47.871878,26.653323,32.380003,43.557343,11.58771,6.263249,11.58771,0.827694,0,7.863089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44593,XXX,2011,-1,-1,OTB,50D100,DEMSP,999,-1,DPS,60.519315,mm,0,0,0,0,0,0,0,23.413008,331.937871,1327.751485,995.813614,4016.237206,4653.361399,5670.984216,5094.996618,1147.629659,2957.577556,976.131093,587.320219,519.918318,190.706038,54.88637,15.017466,35.314873,76.952619,331.937871,5.981089,53.379728,12.787659,23.413008,0,29.96672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44603,XXX,2011,-1,-1,OTB,50D100,MDDWSP,999,-1,DPS,2.743526,mm,0,0,0,0,0,0,0,0,0,26.79004,61.234376,109.711591,101.00945,65.061525,73.426166,55.973862,44.260017,35.154681,38.62213,12.932484,15.663766,11.481446,0,3.647299,5.102865,18.850793,10.241397,7.869814,3.467449,7.689965,1.275716,0,19.35126,0,2.551432,0,0,0,12.757162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44612,XXX,2012,-1,-1,OTB,50D100,DEMSP,999,-1,DPS,6.571266,mm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.151758,37.336046,22.227148,43.75506,175.862967,98.131431,222.556916,106.415073,53.043923,62.295724,26.151341,47.87572,23.355164,1.946264,0,13.377407,4.74244,14.200285,1.946264,0,1.946264,1.946264,3.892527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44623,XXX,2012,-1,-1,OTB,50D100,MDDWSP,999,-1,DPS,0.996779,mm,0,0,0,0,0,0,0,0,0,0,0,0,28.233654,33.880385,16.940192,11.293462,39.527115,67.760769,39.527115,5.646731,5.646731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44630,XXX,2013,-1,-1,OTB,50D100,DEMSP,999,-1,DPS,26.761695,mm,0,0,0,0,0,0,0,0,0,27.417092,59.941687,60.282153,87.358779,113.384382,156.487471,247.539239,422.648904,789.459636,969.695453,684.301651,346.673563,286.6363,217.733808,287.901427,74.972498,168.396655,85.986763,90.224961,46.703824,129.853204,11.984369,23.161171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44644,XXX,2013,-1,-1,OTB,50D100,MDDWSP,999,-1,DPS,3.279211,mm,0,0,0,0,0,0,0,0,0,0,5.622357,5.622357,0,6.529189,9.272761,10.974288,8.230716,8.230716,26.217683,8.230716,10.36527,15.852414,22.805805,15.550893,18.235178,27.643152,29.88375,49.931778,27.749196,30.595268,17.076429,7.115179,2.134554,4.980625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44654,XXX,2014,-1,-1,OTB,50D100,DEMSP,999,-1,DPS,44.978926,mm,0,0,0,0,0,0,0,0,17.244707,57.581818,86.372728,310.852304,248.791593,867.502179,1471.714299,1875.075589,2947.446086,1505.838217,1083.791111,603.281917,648.810972,557.07578,258.660387,140.768613,135.093275,98.549079,35.68285,53.965101,40.49851,25.638346,7.067311,5.158621,5.158621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44671,XXX,2015,-1,-1,OTB,50D100,DEMSP,999,-1,DPS,89.320018,mm,0,0,0,0,0,0,0,0,372.056332,197.246775,1637.585957,1588.426629,1571.859678,2508.107698,2889.496261,3634.701858,3540.93318,3786.166103,2651.144211,1488.670394,1034.572985,739.808163,473.607548,223.3589,286.355872,68.637346,75.730325,79.586545,39.546642,1.02589,3.653217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44695,XXX,2016,1,-1,OTB,50D100,DEMSP,999,-1,DPS,4.321935,mm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.342536,77.370142,270.795498,116.055214,174.08282,58.027607,77.370142,42.983412,0,19.342536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44696,XXX,2016,2,-1,OTB,50D100,DEMSP,999,-1,DPS,2.726606,mm,0,0,0,0,0,0,0,0,0,0,19.743635,98.718173,78.974538,284.153486,147.496564,106.073645,109.944946,39.100139,5.806951,5.806951,39.487269,0,0,0,0,25.163456,12.581728,0,0,0,0,0,0,12.581728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44697,XXX,2016,3,-1,OTB,50D100,DEMSP,999,-1,DPS,18.256248,mm,0,0,0,0,0,0,0,0,0,0,186.179843,168.732132,157.029399,446.831622,362.784722,579.39167,704.078971,720.675574,479.812052,224.266919,340.443141,222.351926,149.582205,0,18.298819,69.36529,26.59712,32.129321,49.577032,9.149409,22.979912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44698,XXX,2016,4,-1,OTB,50D100,DEMSP,999,-1,DPS,4.391166,mm,0,0,0,0,0,0,0,0,0,0,11.654652,34.963956,34.963956,116.200344,139.509648,154.049115,219.245932,162.357382,169.857901,76.851469,45.34929,38.425734,18.578208,23.193912,0,0,11.654652,0,11.654652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44726,XXX,2016,1,-1,OTB,50D100,MDDWSP,999,-1,DPS,1.122239,mm,0,0,0,0,0,0,0,0,0,0,2.727003,0,0.678652,0.678652,1.357304,8.156218,7.46517,4.750563,11.537081,2.714607,4.750563,6.107867,10.204569,5.429215,4.750563,6.798914,12.228129,12.894385,11.549477,8.822474,5.429215,1.357304,3.405655,0.678652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44727,XXX,2016,2,-1,OTB,50D100,MDDWSP,999,-1,DPS,4.120538,mm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.728625,47.148338,36.267952,88.20366,41.055322,80.22471,74.857053,67.603463,77.903561,85.157152,37.428527,14.507181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50233,XXX,2017,1,-1,OTB,50D100,DEMSP,999,-1,DPS,16.215517,mm,0,0,0,0,0,0,9.065903,12.817312,156.933913,344.816943,371.076801,107.852988,102.538493,76.90387,41.265491,132.862376,281.980855,233.681473,531.293196,535.826148,302.6136,367.169084,157.090221,130.674055,106.602518,47.517838,48.768308,30.636501,6.252347,0,1.563087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50240,XXX,2017,1,-1,OTB,50D100,MDDWSP,999,-1,DPS,0.165092,mm,0,0,0,0,0,0,0,0,0,0,1.796343,0,0,0,3.592685,0,0,0,3.592685,1.796343,5.389028,1.437074,1.796343,0,0,3.951954,0,3.951954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50243,XXX,2017,2,-1,OTB,50D100,DEMSP,999,-1,DPS,10.594472,mm,0,0,0,0,0,0,0,0,0,20.367798,0,82.319851,20.367798,62.800711,42.432913,20.367798,104.384965,20.367798,0,20.367798,246.959552,185.007499,323.763124,75.954914,139.604283,102.687649,91.655091,20.367798,40.735596,21.216456,0,20.367798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50254,XXX,2017,4,-1,OTB,50D100,DEMSP,999,-1,DPS,14.491513,mm,0,0,0,0,0,0,0,0,0,0,0,1.75756,1.006603,4.681502,38.602416,93.93361,296.628249,701.89503,715.268466,479.435826,187.989717,177.396422,138.192175,130.794444,69.114728,40.088353,22.571335,6.817204,4.260752,6.817204,5.112903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
